participant_id,side,phase,window_idx,window_start,window_end,acc_x_mean,acc_x_std,acc_x_min,acc_x_max,acc_x_range,acc_x_iqr,acc_y_mean,acc_y_std,acc_y_min,acc_y_max,acc_y_range,acc_y_iqr,acc_z_mean,acc_z_std,acc_z_min,acc_z_max,acc_z_range,acc_z_iqr,acc_magnitude_mean,acc_magnitude_std,acc_magnitude_max,acc_magnitude_range,acc_enmo_mean,acc_enmo_std,acc_enmo_max,acc_enmo_sum,acc_activity_level,acc_sma,acc_x_dominance,acc_y_dominance,acc_z_dominance
MIT001,LEFT,Baseline,0,2025-10-16T17:56:08.414230,2025-10-16T17:57:07.460451,0.00011430816934742809,0.09159247184216879,-0.6145199497445611,0.4131503173530691,1.0276702670976303,0.006325943905002875,-0.00040439727456088615,0.05424723376628203,-0.8709561185183773,0.5397945912540736,1.4107507097724508,0.006436844780995675,0.0002128354793622775,0.07244329528939247,-0.6768394122048018,0.6396060256070071,1.316445437811809,0.00526198027186325,0.04427217433601618,0.12091389822453895,0.9357457451066493,0.9354826677677587,0.009465458653853516,0.043798525362243323,1.0653152989637644,35.77943371156629,0.014620170783854164,0.06735729823167538,0.5059827443296073,0.17748895853037486,0.3165282971400177
MIT001,LEFT,Baseline,1,2025-10-16T17:56:37.945153,2025-10-16T17:57:36.991374,1.5747341064119564e-05,0.0028777081500632254,-0.0111305172496346,0.0115759968107872,0.0227065140604218,0.0038342805408379,4.599940945084523e-06,0.002996677785598187,-0.0132749075163796,0.0115537799256254,0.024828687442004997,0.0038525387667126504,-8.664124026347684e-06,0.0026326043826332937,-0.0087484128444061,0.0093520867087205,0.0181004995531266,0.00344798922785785,0.0044905228778979395,0.002006847346318505,0.013593160378700023,0.013330083039809404,0.003155532358930921,0.003394330637281075,0.0184531744002527,11.927912316758881,4.027436271425626e-06,0.00671393267402464,0.34231326927392963,0.3712020257043237,0.2864847050217467
MIT001,LEFT,Baseline,2,2025-10-16T17:57:07.476076,2025-10-16T17:58:06.522296,1.2363129561446112e-05,0.0038745841793276594,-0.0513454835595878,0.0179043658759371,0.0692498494355249,0.00394442476093555,-1.6845967746879145e-05,0.00474260070579873,-0.0363826243884485,0.0418733379605158,0.0782559623489643,0.00390944345276205,1.2840695987248039e-05,0.004255600468711958,-0.0337639805949998,0.0472668666053725,0.08103084720037229,0.00365680214279675,0.0053527796209824246,0.0051926054358973584,0.06361681096187433,0.063300115223452,0.003538265807569996,0.003970617671628278,0.040824817034949,13.374644752614586,2.6963151212910793e-05,0.008043829144460399,0.2699353901059144,0.4044294272530322,0.32563518264105346
MIT001,LEFT,Baseline,3,2025-10-16T17:57:37.006998,2025-10-16T17:58:36.053219,-2.4803171389842032e-05,0.0038353622267832187,-0.0513454835595878,0.0179043658759371,0.0692498494355249,0.003996084288273499,3.2195295410683734e-05,0.004738581050706109,-0.0363826243884485,0.0418733379605158,0.0782559623489643,0.00396463741256735,-1.1489819035622049e-05,0.004269137585337633,-0.0337639805949998,0.0472668666053725,0.08103084720037229,0.003747110220556025,0.005342552744430946,0.005181563801649208,0.06361681096187433,0.063300115223452,0.003782654957150197,0.004013359154059204,0.040824817034949,14.298435738027745,2.684860343056139e-05,0.00804689994667843,0.2655729530439013,0.40538501973650115,0.32904202721959747
MIT001,LEFT,Baseline,4,2025-10-16T17:58:06.537921,2025-10-16T17:59:05.584141,-6.939637361422287e-06,0.002965637704731044,-0.0148462016520879,0.0095850208764173,0.0244312225285052,0.003947866362335675,1.4852429624429559e-06,0.0041583464532721675,-0.0427356767317212,0.0316996414004195,0.07443531813214069,0.0040632329211309996,4.922193383841887e-06,0.0029433960263415587,-0.014657342716392,0.0222874440229839,0.0369447867393759,0.003622417680459025,0.004876565662147856,0.0033120408095777473,0.0429585380344293,0.04263533515807293,0.003656976404558634,0.003782414553424667,0.0386688601209119,13.823370809231637,1.096961432430842e-05,0.007295079146579747,0.25309057732745044,0.49760086527416797,0.24930855739838156
MIT001,LEFT,Baseline,5,2025-10-16T17:58:36.068844,2025-10-16T17:59:35.115064,1.914765414106382e-05,0.005289299847650606,-0.0280791617488242,0.0342627005081929,0.0623418622570171,0.00500079875995285,5.056818347318661e-05,0.014205283057785826,-0.0735998489549989,0.0656249798645073,0.1392248288195062,0.0073603002558362,-4.087470884763044e-05,0.008209201517793375,-0.0400838140172434,0.0512559148691821,0.0913397288864255,0.005639369320752249,0.011703777322509362,0.01265637942267427,0.07750915939017454,0.07728333739743459,0.004765442447409477,0.006310487836113863,0.1027505215634445,18.01337245120782,0.00016018394009069268,0.017267285562725856,0.0941476133623448,0.679067153059004,0.22678523357865116
MIT001,LEFT,Baseline,6,2025-10-16T17:59:05.599766,2025-10-16T18:00:04.645986,-9.851220896687189e-06,0.005240286825389628,-0.0280791617488242,0.0342627005081929,0.0623418622570171,0.004984312728239725,2.239149242582875e-05,0.014031530886329252,-0.0735998489549989,0.0656249798645073,0.1392248288195062,0.007073129575949549,-1.4226404487751115e-05,0.008181589526643733,-0.0400838140172434,0.0512559148691821,0.0913397288864255,0.00535531919448015,0.011491430409944704,0.012618664753384934,0.07750915939017454,0.07728333739743459,0.005338898163047907,0.006190263418778761,0.1027505215634445,20.181035056321086,0.00015923070015831927,0.016984424446747942,0.09427470212756901,0.6759197941197369,0.22980550375269398
MIT001,LEFT,Baseline,7,2025-10-16T17:59:35.130689,2025-10-16T18:00:34.176909,-6.98853220750623e-06,0.0028672813592800933,-0.0109970568106234,0.009090434431017,0.0200874912416404,0.0038762632484105747,-6.970844700329694e-05,0.0035394182799498904,-0.0117233631106729,0.022673229932874,0.0343965930435469,0.004053074928116725,4.7467839342335684e-05,0.0028099474419211777,-0.0158613493479287,0.0100935315687649,0.025954880916693603,0.0033908925390567753,0.0046393037788617,0.0026699457916698087,0.02815083872954531,0.027919046706252053,0.004805142642827827,0.0038163980021993387,0.0225063697868419,18.163439189889186,7.1286105304553206e-06,0.006958591967169459,0.28701066216712284,0.4373420004952631,0.2756473373376141
MIT001,LEFT,Baseline,8,2025-10-16T18:00:04.661612,2025-10-16T18:01:03.707832,1.721939739934988e-05,0.003714984150275315,-0.0374242391072457,0.0347403660845189,0.0721646051917646,0.004083655211495625,-2.8466216483897613e-05,0.0059607017879717535,-0.084475904234418,0.0972055687787135,0.1816814730131315,0.004248667473684875,3.0618761665323996e-06,0.0047741343036332646,-0.0997643882276013,0.0601674423871642,0.15993183061476549,0.003527755920808275,0.005412434745721877,0.006544470774827423,0.1363170039033488,0.13613819647743275,0.005169544405031114,0.0058809888369165154,0.148315929065508,19.540877851017612,4.2830097722570245e-05,0.008075032984427242,0.19135400202975636,0.492627224188567,0.3160187737816766
MIT001,LEFT,Baseline,9,2025-10-16T18:00:34.192534,2025-10-16T18:01:33.238754,1.017694850784674e-06,0.0036934821169494277,-0.0374242391072457,0.0347403660845189,0.0721646051917646,0.003999425093120675,1.92466922776871e-05,0.0059942238193148294,-0.084475904234418,0.0972055687787135,0.1816814730131315,0.004137134525068925,3.223714773819444e-06,0.004781775833797226,-0.0997643882276013,0.0601674423871642,0.15993183061476549,0.0036191784846490247,0.005430962108125352,0.006553086441690179,0.1363170039033488,0.13613819647743275,0.0053554909722888094,0.005909135500724828,0.148315929065508,20.2437558752517,4.294294191226365e-05,0.008099649809903959,0.1883241834038848,0.49602092964100386,0.31565488695511146
