participant_id,side,phase,window_idx,window_start,window_end,temp_mean,temp_std,temp_min,temp_max,temp_range,temp_median,temp_iqr,temp_skewness,temp_kurtosis,temp_slope,temp_mean_diff,temp_std_diff
MIT001,LEFT,Baseline,0,2025-10-16T17:56:08.681974,2025-10-16T17:57:07.682118,28.40658913644488,0.031290870925318424,28.379265326088923,28.46728572082216,0.0880203947332383,28.390012008912382,0.04628845331424003,0.983051478724833,-0.7375216935724147,-0.0014775098903205147,0.002265948955272568,0.002765442901754801
MIT001,LEFT,Baseline,1,2025-10-16T17:56:38.682048,2025-10-16T17:57:37.682192,28.39844543356613,0.016953075970078738,28.379265326088923,28.434198239726076,0.05493291363715258,28.39229643107891,0.027333666909242993,0.7478796308564007,-0.8352918188350413,0.0008987637778253902,0.0013163314493562972,0.0012226150047520206
MIT001,LEFT,Baseline,2,2025-10-16T17:57:08.682121,2025-10-16T17:58:07.682265,28.437467549728407,0.031051236731248637,28.391460108817185,28.50144930780937,0.10998919899218507,28.434751212654433,0.048020745065119996,0.2759144382148458,-0.9250585788031178,0.0017785913485599495,0.0018938743477522541,0.0009909582115137606
MIT001,LEFT,Baseline,3,2025-10-16T17:57:38.682194,2025-10-16T17:58:37.682338,28.498382706817214,0.04053155625522699,28.435304185582787,28.57120612847801,0.13590194289522373,28.502565901826465,0.06699965816988751,0.06246245362297153,-1.158877697649111,0.00233489888562544,0.0023034227609359955,0.0008932561395001822
MIT001,LEFT,Baseline,4,2025-10-16T17:58:08.682268,2025-10-16T17:59:07.682412,28.568892733759995,0.04072232297632953,28.503682495843556,28.63801798943803,0.13433549359447383,28.57165390849258,0.0745845469266122,-0.007631500861934517,-1.3126068449606727,0.0023462190855769636,0.002276872772787692,0.0009182418070078365
MIT001,LEFT,Baseline,5,2025-10-16T17:58:38.682341,2025-10-16T17:59:37.682485,28.642662822349518,0.04549907566166472,28.572101688507143,28.730295571623124,0.15819388311598104,28.639366470204493,0.07028691304445189,0.2753767312931283,-0.9834884560875636,0.0026099188167067982,0.0026812522562030686,0.000995087696740579
MIT001,LEFT,Baseline,6,2025-10-16T17:59:08.682414,2025-10-16T18:00:07.682558,28.7437040516234,0.07131628533511802,28.640714950970956,28.864426246410037,0.22371129543908097,28.732930552361427,0.13054066360939487,0.17921596756613314,-1.326316085930974,0.004100068525743959,0.00379171687184883,0.0012636665003060074
MIT001,LEFT,Baseline,7,2025-10-16T17:59:38.682488,2025-10-16T18:00:37.682632,28.858550755296545,0.06163952414377319,28.73556553309973,28.95544333444696,0.21987780134723067,28.86590052378122,0.09552223813770055,-0.31945673841881034,-1.0123393602855983,0.003532528632555395,0.0037267423957157743,0.001238759289641131
MIT001,LEFT,Baseline,8,2025-10-16T18:00:08.682561,2025-10-16T18:01:07.682705,28.952827688377347,0.04852369080945066,28.8673748011524,29.034029221674288,0.16665442052188695,28.956786270777407,0.08905226978590619,-0.0472467499100398,-1.2348797616510825,0.0027984310385479627,0.0028246511952862196,0.0010808961782964818
MIT001,LEFT,Baseline,9,2025-10-16T18:00:38.682634,2025-10-16T18:01:37.682778,29.028062162930162,0.03919035864329387,28.958129207107856,29.094933444147976,0.13680423704012057,29.0349165940749,0.055993432192320114,-0.1640944248388055,-1.045318981642908,0.002251995688958431,0.002318715882035942,0.0011197168009745297
MIT001,LEFT,Baseline,10,2025-10-16T18:01:08.682707,2025-10-16T18:02:07.682852,29.09633290491356,0.04024779641013082,29.03580396647551,29.166506440052597,0.13070247357708809,29.096410044885282,0.07190284334765806,0.11275725976700438,-1.236329330967793,0.00231766902779914,0.002215296162323527,0.0009773857074156104
MIT001,LEFT,Baseline,11,2025-10-16T18:01:38.682781,2025-10-16T18:02:37.682925,29.16574991956011,0.03993347155449838,29.09788664562259,29.234416801270154,0.13653015564756288,29.168017140643613,0.06635660379997077,-0.012761726085932812,-1.1819752200407703,0.002300788426753256,0.0023140704347044557,0.0009243426080033367
MIT001,LEFT,Baseline,12,2025-10-16T18:02:08.682854,2025-10-16T18:03:07.682998,29.234509754272374,0.039098976329551866,29.16952784123463,29.290753927417803,0.12122608618317443,29.235775206213592,0.07180713113374892,-0.0939724455897919,-1.3648848743989201,0.0022490943275754295,0.002055142631083141,0.0008660935506982609
MIT001,LEFT,Descriptive_Stress,0,2025-10-16T18:04:06.683142,2025-10-16T18:05:05.683286,29.650347522168918,0.08536207030851777,29.52618370855417,29.808634555584316,0.28245084703014456,29.643718123507732,0.14505112633027295,0.05289678655755387,-1.2340325849059453,0.004905177941141602,0.004992546448186943,0.0027821473017422427
MIT001,LEFT,Descriptive_Stress,1,2025-10-16T18:04:36.683216,2025-10-16T18:05:35.683360,29.822568662341766,0.10925103877247483,29.647619374820582,30.005834416801072,0.3582150419804897,29.812032197869993,0.21479921231366106,0.1397191634843832,-1.4026475590184866,0.006264711599135782,0.006071441389499825,0.002420231154427441
MIT001,LEFT,Descriptive_Stress,2,2025-10-16T18:05:06.683289,2025-10-16T18:06:05.683433,30.00273664262729,0.09812261056878407,29.81542984015567,30.182076701401435,0.3666468612457656,30.008440985730445,0.1394566954652312,-0.13346767950277455,-0.9138642492517453,0.0056386063417571625,0.006214353580436705,0.002199200436649696
MIT001,LEFT,Descriptive_Stress,3,2025-10-16T18:05:36.683362,2025-10-16T18:06:35.683506,30.18685061414164,0.11395960114847178,30.01104755465982,30.386161842004903,0.375114287345081,30.187035186462506,0.2093370492731772,0.10320133987657545,-1.3224517851462645,0.00656261071576965,0.006357869277035271,0.0016352642531858896
